tablescraper-selected-row,tablescraper-selected-row href,grey,linkified,linkified href
We can and we must do more to reduce the likelihood that tragedies like this will ever happen or occur again. To ensure that Black and Brown people — or anyone — don’t fear interactions with law enforcement.,https://twitter.com/POTUS/status/1384856867478855682,"Apr 21, 2021",https://t.co/z2VV09gtKf,http://t.co/z2VV09gtKf
This can be a giant step forward in the march toward justice in America.,https://twitter.com/POTUS/status/1384660069133033474,"Apr 21, 2021",https://t.co/IUjvgxZfaT,http://t.co/IUjvgxZfaT
This can be a moment of significant change.,https://twitter.com/POTUS/status/1384651594235580422,"Apr 20, 2021",,
"“I can’t breathe.”
 
Those were George Floyd’s last words.
 
We cannot let them die with him. We have to keep hearing them.
 
We must not turn away. We cannot turn away.",https://twitter.com/POTUS/status/1384648826544349185,"Apr 20, 2021",,
"There’s meaningful police reform legislation in George Floyd’s name, but it shouldn’t take a year to get it done.
 
I assured the Floyd family that we’re going to continue to fight for the passage of the George Floyd Justice in Policing Act so I can sign it into law right away.",https://twitter.com/POTUS/status/1384647989776486401,"Apr 20, 2021",,
"No one should be above the law.
 
Today’s verdict sends that message, but it is not enough. We can’t stop here.
 
In order to deliver real change and reform, we can and we must do more to reduce the likelihood that tragedies like this ever occur.",https://twitter.com/POTUS/status/1384647427525726213,"Apr 20, 2021",,
"Today, a jury in Minnesota found former Minneapolis Police Officer Derek Chauvin guilty of murdering George Floyd.
 
The verdict is a step forward.
 
And while nothing can ever bring George Floyd back, this can be a giant step forward on the march towards justice in America.",https://twitter.com/POTUS/status/1384646702360113152,"Apr 20, 2021",,
Please join me and the Vice President as we deliver remarks on the verdict in the trial of Derek Chauvin.,https://twitter.com/POTUS/status/1384644682819547138,"Apr 20, 2021",https://t.co/gE87hnPyVp,http://t.co/gE87hnPyVp
"This afternoon, I’m touring the Proterra electric battery manufacturing facility in South Carolina. Tune in.",https://twitter.com/POTUS/status/1384589635859406851,"Apr 20, 2021",https://t.co/34DeLFM75v,http://t.co/34DeLFM75v
The U.S.-Japanese alliance is stronger than ever.,https://twitter.com/POTUS/status/1384550246211104768,"Apr 20, 2021",https://t.co/XLkpaA5CkU,http://t.co/XLkpaA5CkU
"It’s with great sadness that Jill and I learned of the passing of Vice President Walter Mondale, but great gratitude that we were able to call one of our nation’s most dedicated patriots and public servants a dear friend and mentor. Our hearts go out to the Mondale family.",https://twitter.com/POTUS/status/1384495293169913857,"Apr 20, 2021",,
"Today, I brought together Members of Congress for a discussion on the American Jobs Plan. These members are all former governors and mayors, so they understand the issues at stake firsthand. I’m confident that together, we’ll be able to rebuild our nation’s infrastructure.",https://twitter.com/POTUS/status/1384301302864220163,"Apr 20, 2021",https://t.co/AFMQ02Qp9N,http://t.co/AFMQ02Qp9N
"Today, the Ingenuity Mars Helicopter achieved liftoff — becoming the first aircraft to fly on another planet. NASA proved once again that with relentless determination and the power of America’s best minds, anything is possible.",https://twitter.com/POTUS/status/1384257976131670018,"Apr 19, 2021",https://t.co/elC4KPgSOL,http://t.co/elC4KPgSOL
"Thanks for tuning into last night’s Roll Up Your Sleeves special. Today, every American 16+ is eligible to get a COVID-19 vaccine. It’s free. It’s safe, and it’s how we’re going to bring this pandemic to an end. Get your vaccine.",https://twitter.com/POTUS/status/1384236378947350541,"Apr 19, 2021",https://t.co/raYdnl8bxF,http://t.co/raYdnl8bxF
"Everyone 16 and older in America is eligible for the shot today. Go and get ‘em, folks.",https://twitter.com/POTUS/status/1384215260781944834,"Apr 19, 2021",,
"From roads and bridges to high-speed internet and caregiving — the American Jobs Plan covers a lot of ground. So, I asked @SecretaryPete to break things down:",https://twitter.com/POTUS/status/1384164537637629954,"Apr 19, 2021",https://t.co/8NNqeykbch,http://t.co/8NNqeykbch
"As of today, every American is eligible to receive the COVID-19 vaccine. For yourself, your neighbors, and your family — please, get your vaccine.",https://twitter.com/POTUS/status/1384136220284915712,"Apr 19, 2021",https://t.co/o75JYpGe6r,http://t.co/o75JYpGe6r
Let me be clear: Every American has a right to clean drinking water. The American Jobs Plan will finally make that a reality by replacing 100% of America’s lead pipes and service lines.,https://twitter.com/POTUS/status/1383850315363938304,"Apr 18, 2021",,
"Imagine a future where we lead the world and tackle the threat of climate change with American jobs and ingenuity.

We can make that future a reality with the American Jobs Plan.",https://twitter.com/POTUS/status/1383779550304161804,"Apr 18, 2021",https://t.co/JcraqYmsjz,http://t.co/JcraqYmsjz
"Wear a mask.
Stay socially distanced.
Wash your hands.
Get vaccinated.
 
Now is not the time to let up in the battle against COVID-19 — we have to fight this to the end.",https://twitter.com/POTUS/status/1383552100295004167,"Apr 17, 2021",,
We can’t just build back to the way things were before the pandemic — we need to reimagine and build a new American economy.,https://twitter.com/POTUS/status/1383484152591183875,"Apr 17, 2021",,
Our nation’s caregivers have been undervalued for far too long — and it’s time they receive the pay and benefits they deserve. I sat down with Susie from Texas to discuss how the American Jobs Plan will help caregivers like her.,https://twitter.com/POTUS/status/1383420121784328205,"Apr 17, 2021",https://t.co/V2jhtiS7PN,http://t.co/V2jhtiS7PN
"I was honored to welcome Prime Minister Suga to the White House today as we usher in a new era of friendship between the U.S. and Japan. Both Pacific nations, we are also united by our shared commitment to the universal values of freedom, democracy, and human rights.",https://twitter.com/POTUS/status/1383228979415437312,"Apr 17, 2021",https://t.co/QJgbjNnceE,http://t.co/QJgbjNnceE
"Prime Minister Suga — Thank you for making the long trip to Washington, it was a pleasure to host you at the White House. I know we’ll be seeing a lot more of each other in the years to come as we work side by side to ensure a free and open Indo-Pacific region.",https://twitter.com/POTUS/status/1383196372363530245,"Apr 16, 2021",https://t.co/QbMTrg92Lx,http://t.co/QbMTrg92Lx
I just wrapped up my first in-person bilateral meeting as president with Japanese Prime Minister Suga. Tune in as we hold a joint press conference.,https://twitter.com/POTUS/status/1383164223547699208,"Apr 16, 2021",https://t.co/0qDrhSod5f,http://t.co/0qDrhSod5f
"Vice President Harris and I have been briefed on the mass shooting at a FedEx facility in Indianapolis. God bless the eight individuals we lost and their loved ones, and we pray for the wounded for their recovery. 

We can, and must, do more to reduce gun violence and save lives.",https://twitter.com/POTUS/status/1383133591295700993,"Apr 16, 2021",,
I’m looking forward to welcoming my friend Prime Minister Suga to the White House this afternoon for the first foreign leader visit of my presidency — and to renewing the historic alliance between the United States and Japan.,https://twitter.com/POTUS/status/1383108404835708933,"Apr 16, 2021",,
"Equal pay is about justice, fairness, and who we are as a nation — and it makes all of us stronger. I’m glad the House passed the Paycheck Fairness Act to help close the gender pay gap — and I urge the Senate to swiftly do the same.",https://twitter.com/POTUS/status/1382867085794144256,"Apr 16, 2021",,
"This afternoon, Vice President Harris and I met with Congressional Asian Pacific American Caucus leaders in the Oval Office. We doubled down on our commitment to combat anti-Asian hate and discussed working together on everything from the American Jobs Plan to immigration.",https://twitter.com/POTUS/status/1382849472049381377,"Apr 16, 2021",https://t.co/RkPbvdGVOZ,http://t.co/RkPbvdGVOZ
Thank you @GovMurphy for stepping up and taking action to save lives. It’s long past time we pass common-sense gun reforms in every corner of the country to end our gun violence epidemic.,https://twitter.com/POTUS/status/1382838649306415104,"Apr 15, 2021",https://t.co/9PhM3k3nAn,http://t.co/9PhM3k3nAn
