tablescraper-selected-row,linkified,linkified href,tablescraper-selected-row href,grey
"Michelle and I got vaccinated against COVID-19 because we know it’s the best way to beat this pandemic, protect one another, and get the country back up and running again. So I hope you’ll get the vaccine as soon as it’s available to you. It could save your life.",https://t.co/OJLwZbv0iz,http://t.co/OJLwZbv0iz,https://twitter.com/BarackObama/status/1370011662275723267,"Mar 11, 2021"
"From my first cross-country road trip as a child to Bruce’s experience coming of age toward the end of the Vietnam War, @Springsteen and I each continue to reflect on moments from our upbringing that helped shape our view of America. Listen here:",https://t.co/3vQxU2zQub,http://t.co/3vQxU2zQub,https://twitter.com/BarackObama/status/1368995096444735489,"Mar 08, 2021"
"Fifty-six years after Bloody Sunday, our march is not yet over. There are more steps to be taken, more bridges to be crossed. And that’s why the Obama Presidential Center is designed to honor the giants who carried us and inspire the next generation to lead us forward.",https://t.co/0ac3aWgCY0,http://t.co/0ac3aWgCY0,https://twitter.com/BarackObama/status/1368592779446804481,"Mar 07, 2021"
This is the kind of progress that’s possible when we elect leaders across government who are devoted to making people’s lives better—and a reminder of why it’s so important to vote.,,,https://twitter.com/BarackObama/status/1368287782272196614,"Mar 06, 2021"
"This landmark legislation will help families pay rent and put food on the table, lift millions of children out of poverty, make health care more affordable, aid small businesses, fund broad-based vaccination efforts, and make it easier for states to reopen schools.",,,https://twitter.com/BarackObama/status/1368287777100599309,"Mar 06, 2021"
Elections matter—and we’re seeing why. Congratulations to the Biden Administration and to the American people on a COVID relief bill that will improve the lives of families across the country.,,,https://twitter.com/BarackObama/status/1368287775468949513,"Mar 06, 2021"
.@BillGates' new book is an exceptionally clear and accessible primer on climate change. He's unblinking in the difficulty of meeting this challenge but maintains a cautious optimism that it can be met—and provides a framework for action that is both specific and workable.,https://t.co/Ukms2M9iK5,http://t.co/Ukms2M9iK5,https://twitter.com/BarackObama/status/1367882853451759616,"Mar 05, 2021"
"And as we rightly celebrate what Democrats accomplished in the 2020 election, it’s always worth analyzing those successes in depth—and looking at where we came up short—as we look toward future cycles. This interview includes some ideas worth considering:",https://t.co/c75VpLwkgD,http://t.co/c75VpLwkgD,https://twitter.com/BarackObama/status/1367580795360133124,"Mar 04, 2021"
The Biden administration’s commitment to democratic values at home and abroad couldn’t be more important—because democracy remains at risk around the world:,https://t.co/hjDcY6ZtOv,http://t.co/hjDcY6ZtOv,https://twitter.com/BarackObama/status/1367580793648926726,"Mar 04, 2021"
"If you haven’t read Michelle’s memoir yet, I hope you do—especially if the young readers’ edition might resonate with you or someone you know. Becoming isn’t just a title—it’s a process we all go through, and Miche’s story brings that to life with real honesty and beauty.",https://t.co/bO8Y0Kkelz,http://t.co/bO8Y0Kkelz,https://twitter.com/BarackObama/status/1366878648544993281,"Mar 02, 2021"
"Like so many others, Michelle and I benefited from Vernon Jordan's wise counsel and warm friendship—and deeply admired his tireless fight for civil rights. We hope the memory of his extraordinary presence and the legacy of his work bring comfort to Ann, Vickee, and his family.",https://t.co/HBZfGUuyVl,http://t.co/HBZfGUuyVl,https://twitter.com/BarackObama/status/1366781626244599809,"Mar 02, 2021"
"RT @springsteen: In Episode 3 of Renegades: Born in the USA, Bruce and @BarackObama talk about identity, grace, and some of the songs that…",,,https://twitter.com/BarackObama/status/1366488142698713090,"Mar 01, 2021"
"Music has always been an important part of my life, and I think it’s safe to say that the same is true for @Springsteen. In this episode, we talked about the songs that’ve made a difference for us—and Bruce even brought out the guitar. Listen on @Spotify:",https://t.co/pUlY5kGQnZ,http://t.co/pUlY5kGQnZ,https://twitter.com/BarackObama/status/1366418315787329542,"Mar 01, 2021"
"To date, My Brother’s Keeper has touched thousands of lives, and these are just a few stories of the inspiring young men we’ve met. By joining the @MBK_Alliance, you can help us reach even more.",https://t.co/ol1G5LLZ8n,http://t.co/ol1G5LLZ8n,https://twitter.com/BarackObama/status/1365727953036967939,"Feb 27, 2021"
Today marks seven years since we launched My Brother’s Keeper to reduce barriers and expand opportunity for boys and young men of color. And it remains true that the only way our country lives up to its ideals is if our young people can reach their fullest potential.,https://t.co/dOoOGPxnNv,http://t.co/dOoOGPxnNv,https://twitter.com/BarackObama/status/1365727951250206732,"Feb 27, 2021"
"I first picked up Toni Morrison’s novels when I was entering college, and her voice fundamentally changed my perspective on the world. This Black History Month, I reflected on the impact that her writing has had on my life.",https://t.co/zSLkfkHmET,http://t.co/zSLkfkHmET,https://twitter.com/BarackObama/status/1365417898408374274,"Feb 26, 2021"
"It was great to hear from this impressive group of young leaders. If there's one thing we can bank on, it’s that young folks like these are our best hope for a more sustainable and just world.",https://t.co/r3hzsgwgg3,http://t.co/r3hzsgwgg3,https://twitter.com/BarackObama/status/1365019501557858314,"Feb 25, 2021"
