tweet,linkified,linkified href,tablescraper-selected-row href,grey
"Last night saw disgraceful attacks against police officers in Bristol. 

Our officers should not have to face having bricks, bottles and fireworks being thrown at them by a mob intent on violence and causing damage to property.

The police and the city have my full support.",,,https://twitter.com/BorisJohnson/status/1375741247470632960,"Mar 27, 2021"
"Chag kasher v’sameach to everyone celebrating #Passover.

While families, friends and neighbours can't come together as they usually would, I know our fantastic Jewish community - known for its strength and resilience – will celebrate this Pesach safely.",https://t.co/lQfCIDZV2K,http://t.co/lQfCIDZV2K,https://twitter.com/BorisJohnson/status/1375455694435069964,"Mar 26, 2021"
"I want to congratulate the people of Bangladesh on your 50th anniversary. 

The bond between our two nations is incarnated by the 600,000 strong British-Bangladeshi community, who contribute so much to our country 🇬🇧🇧🇩

#Bangladesh50
#BritBanglaBondhon",https://t.co/kIw0BSFWtF,http://t.co/kIw0BSFWtF,https://twitter.com/BorisJohnson/status/1375400260168716293,"Mar 26, 2021"
"The MPs and other British citizens sanctioned by China today are performing a vital role shining a light on the gross human rights violations being perpetrated against Uyghur Muslims. 

Freedom to speak out in opposition to abuse is fundamental and I stand firmly with them.",,,https://twitter.com/BorisJohnson/status/1375382504555823105,"Mar 26, 2021"
"It was fantastic to meet the children, parents and staff at Monkey Puzzle Nursery in Greenford today.",https://t.co/W6AtZuIUsg,http://t.co/W6AtZuIUsg,https://twitter.com/BorisJohnson/status/1375170459000524809,"Mar 25, 2021"
Best wishes to the people of Greece on the 200th anniversary of the Greek Revolution. The UK was proud to play its part in the establishment of the modern Greek state and I greatly value the friendship that exists between our people today 🇬🇧🇬🇷,,,https://twitter.com/BorisJohnson/status/1374995724308508674,"Mar 25, 2021"
"Today we take a positive step forward in our commitment to tackle illegal entry, punish people smugglers and safeguard those who are in genuine need of refuge. 

This is our fair but firm New Plan for Immigration ⬇️",https://t.co/FzqSm9lTsf,http://t.co/FzqSm9lTsf,https://twitter.com/BorisJohnson/status/1374699179143004160,"Mar 24, 2021"
"Cautiously but irreversibly, step by step, jab by jab, this country is on the path to reclaiming our freedoms.",https://t.co/rJeCil9lit,http://t.co/rJeCil9lit,https://twitter.com/BorisJohnson/status/1374445460824334343,"Mar 23, 2021"
WATCH LIVE: An update on coronavirus (23 March 2021),https://t.co/vTeh0ng1EO,http://t.co/vTeh0ng1EO,https://twitter.com/BorisJohnson/status/1374405164203790336,"Mar 23, 2021"
"Today, the anniversary of the first lockdown, is an opportunity to reflect on the past year – one of the most difficult in our country’s history.",https://t.co/Y7yt8OoRMW,http://t.co/Y7yt8OoRMW,https://twitter.com/BorisJohnson/status/1374309494717624329,"Mar 23, 2021"
"Fantastic to visit @BAESystemsplc in Warton.
 
Our £24bn investment in security and defence will modernise our Armed Forces, creating jobs and securing our place as a science superpower.",https://t.co/lNInD0ibT7,http://t.co/lNInD0ibT7,https://twitter.com/BorisJohnson/status/1374078731279593472,"Mar 22, 2021"
"RT @MattHancock: The Scottish vaccination figures have been revised down slightly. The U.K. total is 844,285 - still our RECORD day in the…",,,https://twitter.com/BorisJohnson/status/1373686901052469249,"Mar 21, 2021"
"Yesterday was a record-breaking day for the vaccine rollout, with 873,784 people receiving a jab. 

A huge thank you to everyone involved and please come forward to get your jab when you are invited to do so.",,,https://twitter.com/BorisJohnson/status/1373649045433032704,"Mar 21, 2021"
"More than half the adult population of the UK have now received their first jab. 

Many thanks to everyone involved in this fantastic achievement. Let’s keep going!",https://t.co/cf9kWThmuM,http://t.co/cf9kWThmuM,https://twitter.com/BorisJohnson/status/1373261104521084931,"Mar 20, 2021"
"I’ve just had my first AstraZeneca vaccine.

Get your jab when you’re asked to do so. It’s good for you, it’s good for your family and it’s a great thing for the whole country.",https://t.co/pc5tnY9PGK,http://t.co/pc5tnY9PGK,https://twitter.com/BorisJohnson/status/1372999248854315015,"Mar 19, 2021"
